Name,Radius,Mass,Distance
Rasalgethi,194796000000.0,5.5692e+30,0360
Tau Ceti,621260100.0,1.557387e+30,011.9
Delta Pavonis,848754000.0,1.9710989999999998e+30,019.92
Ran,514818000.0,1.6309799999999997e+30,010.48
V382 Carinae,337414500000.0,3.978e+31,"08,900"
Delta Cephei,30958650000.0,8.950499999999999e+30,0887
Mu Cephei,676220400000.0,3.8188799999999997e+31,"06,000"
Titawin,1029636000.0,2.52603e+30,044.25
P Cygni,52873200000.0,5.967e+31,"05,545"
VV Cephei,544733100000.0,3.61998e+31,"04,900"
61 Cygni,462640500.0,1.3923e+30,011.41
R Doradus,207318600000.0,1.6906499999999997e+30,0178
Polaris Australis,2601918000.0,3.16251e+30,0281
R Coronae Borealis,59134500000.0,1.6906499999999997e+30,"04,566"
54 Piscium,653958000.0,1.51164e+30,036.1
Mira,257409000000.0,2.3867999999999998e+30,0300
Lacaille 8760,354807000.0,1.1933999999999999e+30,012.87
II Pegasi,2365380000.0,1.5912e+30,0130
Pistol Star,222624000000.0,1.989e+32,"025,000"
S Doradus,264366000000.0,4.7736e+31,"0169,000"
Barnard's Star,139140000.0,2.7846e+29,05.98
Proxima Centauri,104355000.0,2.3868e+29,04.25
KIC 8462852,1099206000.0,2.84427e+30,"01,470"
R136a1,22262400000.0,5.7680999999999994e+32,"0163,000"
Melnick 42,14679270000.000002,3.75921e+32,"0163,000"
WR 102,271323000.0,3.7791e+31,"018,134"
VFTS 352,10066779000.0,1.1432771999999998e+32,"0164,000"
YBP 1194,688743000.0,2.00889e+30,"02,772"
Gliese 1214,146097000.0,3.1824e+29,047.5
NML Cygni,1534018500000.0,9.945e+31,"05,251"
VB 10,69570000.0,1.4917499999999999e+29,018.72
TRAPPIST-1,83484000.0,1.7702099999999997e+29,039.6
2MASS J0523-1403,59830199.99999999,1.3923e+29,040.3
